ID,Year,Month,Day,Country,Region,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Details,,,
35,1997,,,,,,0,0,0,2,0,0,1,0,0,1,0,1,0,1,1,1,0,2,0,0,2,U,U,U,"1 ICRC international staff wounded and 1 natl staff killed, sometime in 1997",,,
2,1997,1,,Rwanda,Ruhengeri,,0,4,0,0,0,0,0,0,0,0,3,1,0,4,3,1,0,4,3,1,0,S,R,OC,"3 INGO international (Spanish) staff killed, 1 INGO international (US) staff gravely wounded during armed raid on INGO compound in Ruhengeri, Rwanda.",,,
1,1997,1,,Cambodia,Banteay Meanchey,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,U,Am,U,1 ICRC national staff killed while working in Banteay Meanchey province.,,,
3,1997,2,,Tajikistan,,,4,0,0,2,0,0,0,0,4,4,0,0,2,2,0,0,6,6,0,0,6,K,U,U,"3 UN national staff, 1 UN international (Nigerian) staff, 1 ICRC international staff and 1 ICRC national staff kidnapped along with other (not included) UN staff, journalist and Tajik govt rep; released 48 hours later.",,,
4,1997,2,,Somalia,South Central/Jubbada Hoose,Kismayo,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,U,U,U,1 INGO international staff killed by Al ittihad militia in Kismayo.,,,
5,1997,2,14,Rwanda,Kigali,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,S,IA,U,1 UN national staff shot and killed in Kigali Feb 14.,,,
7,1997,5,,DR Congo,,,0,0,10,0,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,10,U,C,U,10 NRCS staff first aid workers killed in fighting between Zairean troops and rebels from the Alliance of Democratic Forces for the Liberation of Congo-Zaire (ADFL).,,,
6,1997,5,7,Sierra Leone,,,3,0,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,1,0,2,U,Am,U,1 UN national staff driver killed and 2 UN national staff wounded when UN assessment team ambushed May 7.,,,
11,1997,6,,Somalia,Gedo,Tulo-Burago,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,BA,Am,U,"1 UN national staff beheaded by Al-Ittihad militia after ambush near Tulo-Burago village in Gedo region. Another 3 UN national staff (not included) bound, questioned and later released. The victim, a senior SNF Commander, was the apparent target of the Al-Ittihad militia.",,,
12,1997,6,8,Rwanda,Ruhengeri,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,C,,1 INGO national staff killed when he was among a group of villagers attacked by insurgents near Ruhengeri on June 8.,,,
8,1997,6,14,Rwanda,Ruhengeri,Rubange secteur,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,IA,H,"1 UN national staff shot and killed in Ruhengeri June 14. The staffer, his wife, young child and another relative were killed at night in their home in Rubange secteur.",,,
9,1997,6,17,Rwanda,Ruhengeri,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,S,D,,"1 UN national staff shot and killed in Ruhengeri June 17. Arrested by soldiers on 9 June 1997. The mutilated body was found in the bush near Ruhengeri town, on 13 June and had been tortured and shot through the head.",,,
14,1997,6,19,Somalia,Kismayo,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,Am,U,1 INGO driver killed by Al Ittihad militia in Kismayo on June 19.,,,
10,1997,6,19,Rwanda,Ruhengeri,Kigombe ,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,R,H,"1 UN national staff driver was shot and killed in Ruhengeri along with his wife, their son aged 7 and their daughter aged 6. They were shot through the windows of their house in Kigombe.",,,
13,1997,6,20,Somalia,Baidoa,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,S,IA,PS,1 INGO international staffer (Portuguese) shot in Baidoa hospital apparently in revenge for shooter's brother who died in his care.,,,
19,1997,7,,Somalia,Teyeglow,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,K,U,U,1 donor agency international staff official kidnapped by his security guards at Teyeglow. Escaped two days later.,,,
18,1997,7,,Chechnya,Nazran,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,K,U,U,1 INGO international staff kidnapped in Nazran and held 3.6 months before escaping.,,,
17,1997,7,,Chechnya,,,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,1,1,0,K,U,U,2 INGO international (British) staff kidnapped. Released 15 months later after ransom paid.,,,
16,1997,7,,Chechnya,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,U,IA,H,1 INGO local staffer killed in home attack.,,,
15,1997,7,17,Bangladesh,Siddhirganj,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,IA,U,"1 UN natl staff shot and killed in Siddhirganj, July 17.",,,
20,1997,8,,Somalia,Kismayo,,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,U,IA,U,2 INGO national nurses running a health clinic killed in apparent clan-related revenge killing in Kismayo.,,,
21,1997,8,,Chechnya,Dagestan,,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,K,U,U,4 INGO international staff (French) kidnapped in Dagestan and held 3.5 months. Ransom negotiated by French govt.,,,
24,1997,9,,South Sudan,,Juba,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,IA,U,1 UN national staff shot and killed in Juba.,,,
23,1997,9,,Somalia,Mogadishu,,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,K,U,U,1 UN national staff kidnapped in Mogadishu over FFW project dispute.,,,
22,1997,9,24,Ethiopia,Ogaden,,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,0,1,S,IA,U,2 UN national staffers shot dead in apparent robbery attempt in Ogaden region Sept 24.,,,
26,1997,10,,Rwanda,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,Am,U,1 UN national staff driver killed in ambush.,,,
28,1997,10,,Angola,,,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,2,U,Am,U,2 INGO international (German) staff killed in ambush.,,,
25,1997,10,,Angola,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,Am,U,1 UN national staff driver killed in ambush.,,,
27,1997,10,18,Afghanistan,Mazar-i-Sharif ,Anchoy-Shibirgan road. 200 kilometres west of Mazar-i-Sharif,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,C,R,1 ICRC national staff killed by stray bullet when three ICRC cars caught in crossfire Anchoy-Shibirgan road 200 kilometres west of Mazar-i-Sharif on Oct 18.,,,
29,1997,10,23,Chechnya,Grozny,,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,K,U,U,2 INGO international (Hungarian) staff kidnapped in Grozny on Oct 23 and held for 9 months. Severe abuse (multilations). Ransom paid by Hungarian govt.,,,
31,1997,11,,Congo,,,0,0,0,3,0,0,1,2,0,3,0,0,0,0,1,2,0,3,0,0,3,U,Am,U,1 ICRC natl staff killed and 2 wounded in ambush.,,,
